x,y,light
5.981412044586793,-9.77874103879623,36.6
5.980181254523459,-9.779214658918269,36.9
5.979010002851102,-9.779662398932118,36.6
5.97789560256395,-9.78008553162998,36.6
5.976835755564969,-9.780484021656518,36.6
5.975827852630134,-9.780858371057546,36.6
5.9748701047792885,-9.781209619280032,36.9
5.9739618049056515,-9.781537907745333,36.6
5.973098943713772,-9.78184445974818,36.9
5.972282235381502,-9.782129706623712,37.2
5.971509968710428,-9.782394907021997,36.9
5.97078072948699,-9.782640626628458,36.9
5.97009260852288,-9.782867360417846,36.9
5.969443979472498,-9.78307461341541,36.6
5.968834524137792,-9.78326334021531,36.9
5.968263111147916,-9.783434955031105,36.6
5.967727902025235,-9.783588609334656,36.9
5.967229137186058,-9.783725957755834,36.9
5.966764928655275,-9.783847516482588,36.9
5.96563128799261,-9.784407113718151,36.9
5.964552285470926,-9.784938334758584,36.9
5.9635274402576135,-9.785439850243142,36.9
5.962551385412203,-9.785920152524263,36.9
5.961624934107493,-9.786375105027279,36.6
5.960746566063902,-9.786804884528884,36.6
5.959915574174652,-9.787210056714503,36.9
5.959130685647535,-9.787591187269562,36.9
5.958387700268271,-9.78794987425539,36.9
5.95768642004696,-9.788286485367504,36.9
5.95702525399335,-9.788602399464132,36.9
5.956402985883768,-9.788897107428397,36.9
5.955818272215337,-9.789171952763176,36.9
5.955271671602412,-9.789425372762487,36.9
5.954761013227174,-9.78965929782784,36.9
5.954285271784793,-9.789875248238811,36.9
5.953842021899007,-9.790072919939494,36.9
5.953429616011014,-9.790253635219562,36.9
5.953046547983374,-9.79041829210463,36.9
5.952693206724815,-9.790567562346137,37.2
5.951621635895403,-9.791137186355856,36.9
5.950600856546083,-9.791677698779397,36.9
5.9496279129705085,-9.792192366450081,36.6
5.948699799964862,-9.792682002540715,36.6
5.947816694305837,-9.793146500985277,36.6
5.946978468714216,-9.793587431560821,36.9
5.946182287691804,-9.794004645774923,36.6
5.945426715811833,-9.794399253785233,36.9
5.944709497403676,-9.794770696977391,36.9
5.944030809244026,-9.79512367761149,36.6
5.943389145195438,-9.795454992493816,36.9
5.942782871841247,-9.795766685162963,36.9
5.942210490115082,-9.796060509243748,36.9
5.94167031003173,-9.796335623279106,36.9
5.941161016372581,-9.7965914191572,36.6
5.940683075828109,-9.79682751504037,36.9
5.940235484306686,-9.797046583792248,37.2
5.939816771026207,-9.79724800315887,36.9
5.939425104580107,-9.797432063054012,36.6
5.9390592970289955,-9.79760153533626,36.3
5.937912603175149,-9.798105087288347,36.6
5.936815633070156,-9.798581712614206,36.9
5.93576533201272,-9.799033164938653,36.6
5.934760816119365,-9.799460964541273,36.9
5.933800706531869,-9.79986585388418,36.6
5.932882782934941,-9.800248582500565,36.9
5.932006465501017,-9.800609277669647,36.9
5.931170764280603,-9.800949353604992,36.6
5.930372299303287,-9.801270521505007,36.9
5.929609755350455,-9.801571890415149,36.9
5.9288813646551555,-9.801853955310165,36.9
5.928187551481456,-9.802117423296835,36.6
5.927527396590539,-9.80236264792855,36.9
5.926899160499728,-9.802591142413823,36.6
