delays_time,delays
2021-09-04 10:59:55.995698,6.916898
2021-09-04 10:59:56.004545,6.925745
2021-09-04 10:59:56.012391,6.759591
2021-09-04 10:59:56.030417,5.037617
2021-09-04 10:59:56.030546,5.559746
2021-09-04 10:59:56.038518,5.219718
2021-09-04 10:59:56.045770,5.57497
2021-09-04 10:59:56.053727,1.899073
2021-09-04 10:59:56.062989,1.590189
2021-09-04 10:59:56.073528,6.646728
2021-09-04 10:59:56.078785,6.825985
2021-09-04 10:59:56.088080,6.31328
2021-09-04 10:59:56.096078,6.321278
2021-09-04 10:59:56.106202,7.375402
2021-09-04 10:59:56.121623,1.996823
2021-09-04 10:59:56.129450,6.87665
2021-09-04 10:59:56.138162,1.665362
2021-09-04 10:59:56.145907,7.589107
2021-09-04 10:59:56.155810,7.59901
2021-09-04 10:59:56.165396,1.692596
2021-09-04 10:59:56.171451,5.352651
2021-09-04 10:59:56.179044,6.752244
2021-09-04 10:59:56.196259,7.117459
2021-09-04 10:59:56.203866,5.037066
2021-09-04 10:59:56.212473,6.785673
2021-09-04 10:59:56.220872,7.664072
2021-09-04 10:59:56.229415,1.723385
2021-09-04 10:59:56.239164,6.237636
2021-09-04 10:59:56.247314,1.705486
2021-09-04 10:59:56.264319,5.445519
2021-09-04 10:59:56.271019,2.146219
2021-09-04 10:59:56.279024,7.548224
2021-09-04 10:59:56.287871,5.295071
2021-09-04 10:59:56.296552,7.565752
2021-09-04 10:59:56.307011,7.228211
2021-09-04 10:59:56.312598,2.187798
2021-09-04 10:59:56.320904,1.848104
2021-09-04 10:59:56.329469,6.554669
2021-09-04 10:59:56.337412,7.780612
2021-09-04 10:59:56.345395,1.872595
2021-09-04 10:59:56.354020,6.12278
2021-09-04 10:59:56.362099,7.805299
2021-09-04 10:59:56.371065,7.118265
2021-09-04 10:59:56.378956,7.648156
2021-09-04 10:59:56.387492,7.830692
2021-09-04 10:59:56.396896,7.144096
2021-09-04 10:59:56.404581,5.933781
